,date,fremont_bridge_nb,fremont_bridge_sb
167,2014-04-08 13:00:00,38,35
168,2014-09-06 15:00:00,115,96
169,2016-01-09 06:00:00,4,5
170,2017-03-30 03:00:00,0,1
171,2014-04-29 13:00:00,81,43
172,2013-11-15 11:00:00,33,23
173,2014-05-30 14:00:00,91,93
174,2014-06-26 12:00:00,68,58
175,2014-10-15 03:00:00,2,2
176,2017-04-17 10:00:00,52,48
177,2015-03-28 00:00:00,6,7
178,2016-05-18 19:00:00,75,125
179,2014-02-12 18:00:00,83,192
180,2016-04-21 12:00:00,49,39
181,2014-11-19 13:00:00,0,56
182,2016-10-10 05:00:00,20,10
183,2016-01-23 17:00:00,15,15
184,2014-08-26 15:00:00,78,116
185,2013-10-29 13:00:00,98,18
186,2014-05-10 23:00:00,11,17
187,2017-05-27 03:00:00,2,2
188,2016-11-30 05:00:00,22,6
189,2013-03-05 01:00:00,2,3
190,2016-05-01 20:00:00,40,27
191,2015-12-28 11:00:00,24,8
192,2014-11-14 00:00:00,6,6
193,2016-12-08 04:00:00,6,1
194,2015-12-06 21:00:00,2,3
195,2015-12-04 01:00:00,0,2
196,2014-04-30 14:00:00,92,55
197,2014-01-10 03:00:00,1,2
198,2014-11-17 00:00:00,3,3
199,2015-11-12 21:00:00,34,19
200,2013-03-31 13:00:00,154,128
201,2014-01-04 01:00:00,5,3
202,2016-03-12 10:00:00,25,37
203,2013-01-15 08:00:00,194,93
204,2016-04-19 14:00:00,59,73
205,2013-04-06 23:00:00,4,4
206,2015-09-11 03:00:00,3,1
207,2017-01-18 01:00:00,0,0
208,2015-06-13 05:00:00,8,8
209,2014-04-13 18:00:00,82,82
210,2016-12-05 12:00:00,11,11
211,2014-12-11 06:00:00,47,17
212,2016-07-11 09:00:00,175,117
213,2016-07-18 13:00:00,51,29
214,2014-01-03 14:00:00,59,36
215,2015-11-21 02:00:00,0,0
216,2013-07-03 20:00:00,73,70
217,2015-09-05 22:00:00,5,11
218,2017-01-27 11:00:00,38,39
219,2017-03-20 04:00:00,2,5
220,2016-12-04 11:00:00,56,35
221,2015-11-18 19:00:00,37,79
222,2016-12-21 14:00:00,32,37
223,2013-11-19 14:00:00,36,30
224,2014-09-01 00:00:00,4,22
225,2016-12-27 22:00:00,3,4
226,2016-05-25 09:00:00,190,117
227,2016-03-13 05:00:00,0,2
228,2013-08-31 02:00:00,5,11
229,2016-04-15 07:00:00,191,90
230,2015-04-16 04:00:00,4,2
231,2017-01-08 14:00:00,10,6
232,2014-08-08 18:00:00,174,232
233,2016-03-13 01:00:00,3,1
234,2014-05-03 18:00:00,10,17
235,2014-08-06 14:00:00,62,78
236,2013-04-15 09:00:00,126,78
237,2015-01-22 03:00:00,1,2
238,2016-09-22 21:00:00,32,34
239,2017-04-24 01:00:00,1,1
